"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
"Pandox inspirações Conta de anúncios",55-64,male,"Novo anúncio de Engajamento",2,2,1,BRL,0.39,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video Mulher brava",14,37,2.64285714,BRL,0.37,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"v2;...e mais 1 anúncio",36,43,1.19444444,BRL,0.36,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video comece pelos acessórios;...e mais 1 anúncio",283,289,1.02120141,BRL,0.34867758,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video Acessórios para cada ocasião",25,29,1.16,BRL,0.34,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",35,35,1,BRL,0.32,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Novo anúncio de Engajamento",3,3,1,BRL,0.28,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video vem aprender",285,290,1.01754386,BRL,0.27,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video vem aprender",283,284,1.00353357,BRL,0.27,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Video comece pelos acessórios;...e mais 1 anúncio",347,403,1.16138329,BRL,0.26897985,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video localização;...e mais 2 anúncios",163,172,1.05521472,BRL,0.26302187,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Novo anúncio de Engajamento",13,19,1.46153846,BRL,0.26,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",65,66,1.01538462,BRL,0.26,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Novo anúncio de Engajamento;...e mais 2 anúncios",7,7,1,BRL,0.26,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video brincadeira;...e mais 1 anúncio",364,392,1.07692308,BRL,0.2561,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"v2;...e mais 1 anúncio",25,27,1.08,BRL,0.21,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Video brincadeira;...e mais 1 anúncio",184,186,1.01086957,BRL,0.20685,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Novo anúncio de Engajamento",5,8,1.6,BRL,0.2,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video Acessórios para cada ocasião",2,12,6,BRL,0.2,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Novo anúncio de Engajamento;...e mais 2 anúncios",5,22,4.4,BRL,0.19,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",27,27,1,BRL,0.19,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",141,204,1.44680851,BRL,0.18520074,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Instagram Post",14,14,1,BRL,0.18,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Novo anúncio de Engajamento",11,12,1.09090909,BRL,0.17,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Instagram Post",29,32,1.10344828,BRL,0.17,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video brincadeira;...e mais 1 anúncio",129,132,1.02325581,BRL,0.16745,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Instagram Post",8,8,1,BRL,0.16,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"v3 - autoestima;...e mais 1 anúncio",14,15,1.07142857,BRL,0.15,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"v3 - autoestima;...e mais 1 anúncio",18,20,1.11111111,BRL,0.15,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video vem aprender",87,87,1,BRL,0.14,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Novo anúncio de Engajamento",17,19,1.11764706,BRL,0.13,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Novo anúncio de Engajamento",1,1,1,BRL,0.11,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",79,79,1,BRL,0.10722148,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Novo anúncio de Engajamento;...e mais 2 anúncios",2,2,1,BRL,0.1,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Novo anúncio de Engajamento",7,9,1.28571429,BRL,0.1,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Instagram Post",12,13,1.08333333,BRL,0.09981752,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
